Endpoint                                             Methods                        Rule
invenio_oauth2server_settings.token_permission_view  GET, HEAD, OPTIONS             /account/settings/applications/tokens/<string:token_id>/view/
invenio_oauth2server_settings.token_revoke           GET, HEAD, OPTIONS             /account/settings/applications/tokens/<string:token_id>/revoke/
invenio_oauth2server_settings.token_view             GET, HEAD, OPTIONS, POST       /account/settings/applications/tokens/<string:token_id>/
invenio_oauthclient.authorized                       GET, HEAD, OPTIONS             /oauth/authorized/<remote_app>/
invenio_oauthclient.disconnect                       GET, HEAD, OPTIONS             /oauth/disconnect/<remote_app>/
invenio_oauthclient.login                            GET, HEAD, OPTIONS             /oauth/login/<remote_app>/
invenio_oauthclient.signup                           GET, HEAD, OPTIONS, POST       /oauth/signup/<remote_app>/
invenio_oauthclient.static                           GET, HEAD, OPTIONS             /oauth/static/<path:filename>
invenio_oauthclient_settings.index                   GET, HEAD, OPTIONS, POST       /account/settings/linkedaccounts/
invenio_oauthclient_settings.static                  GET, HEAD, OPTIONS             /account/settings/linkedaccounts/static/<path:filename>
invenio_previewer.static                             GET, HEAD, OPTIONS             /static/<path:filename>
invenio_records.static                               GET, HEAD, OPTIONS             /static/<path:filename>
invenio_records_ui.recid                             GET, HEAD, OPTIONS             /records/<pid_value>
invenio_records_ui.recid_export                      GET, HEAD, OPTIONS             /records/<pid_value>/export/<format>
invenio_records_ui.recid_file_details                GET, HEAD, OPTIONS             /records/<pid_value>/file_details/<path:filename>
invenio_records_ui.recid_file_preview                GET, HEAD, OPTIONS             /record/<pid_value>/file_preview/<path:filename>
invenio_records_ui.recid_files                       GET, HEAD, OPTIONS             /record/<pid_value>/files/<path:filename>
invenio_records_ui.recid_guest_file_download         GET, HEAD, OPTIONS             /record/<pid_value>/file/onetime/<string:filename>
invenio_records_ui.recid_preview                     GET, HEAD, OPTIONS             /record/<pid_value>/preview/<path:filename>
invenio_records_ui.recid_publish                     OPTIONS, POST                  /record/<pid_value>/publish
invenio_records_ui.recid_secret_file_download        GET, HEAD, OPTIONS             /record/<pid_value>/file/secret/<string:filename>
invenio_records_ui.recid_secret_url                  OPTIONS, POST                  /records/<pid_value>/secret/<path:filename>
invenio_records_ui.static                            GET, HEAD, OPTIONS             /static/<path:filename>
invenio_resourcesyncclient.index                     GET, HEAD, OPTIONS             /
invenio_resourcesyncclient.static                    GET, HEAD, OPTIONS             /static/<path:filename>
invenio_resourcesyncserver.capability                GET, HEAD, OPTIONS             /resync/capability.xml
invenio_resourcesyncserver.change_dump               GET, HEAD, OPTIONS             /resync/<index_id>/<from_date>/changedump.xml
invenio_resourcesyncserver.change_dump_content       GET, HEAD, OPTIONS             /resync/<index_id>/<record_id>/change_dump_content.zip
invenio_resourcesyncserver.change_dump_index         GET, HEAD, OPTIONS             /resync/<index_id>/changedump.xml
invenio_resourcesyncserver.change_dump_manifest      GET, HEAD, OPTIONS             /resync/<index_id>/<record_id>/changedump_manifest.xml
invenio_resourcesyncserver.change_list               GET, HEAD, OPTIONS             /resync/<index_id>/<from_date>/changelist.xml
invenio_resourcesyncserver.change_list_index         GET, HEAD, OPTIONS             /resync/<index_id>/changelist.xml
invenio_resourcesyncserver.file_content              GET, HEAD, OPTIONS             /resync/<index_id>/<record_id>/file_content.zip
invenio_resourcesyncserver.record_detail_in_index    GET, HEAD, OPTIONS             /resync/<index_id>/records/<record_id>
invenio_resourcesyncserver.resource_dump             GET, HEAD, OPTIONS             /resync/<index_id>/resourcedump.xml
invenio_resourcesyncserver.resource_dump_manifest    GET, HEAD, OPTIONS             /resync/<index_id>/<record_id>/resourcedump_manifest.xml
invenio_resourcesyncserver.resource_list             GET, HEAD, OPTIONS             /resync/<index_id>/resourcelist.xml
invenio_resourcesyncserver.source_description        GET, HEAD, OPTIONS             /resync/source.xml
invenio_resourcesyncserver.static                    GET, HEAD, OPTIONS             /static/<path:filename>
invenio_resourcesyncserver.well_know_resourcesync    GET, HEAD, OPTIONS             /.well-known/resourcesync
invenio_search_ui.search                             GET, HEAD, OPTIONS             /search
invenio_search_ui.static                             GET, HEAD, OPTIONS             /static/<path:filename>
invenio_theme.static                                 GET, HEAD, OPTIONS             /static/<path:filename>
itemexportsettings.index                             GET, HEAD, OPTIONS, POST       /admin/itemexportsettings/
items/bulk-export.cancel_export                      GET, HEAD, OPTIONS             /admin/items/bulk-export/cancel_export
items/bulk-export.check_export_status                GET, HEAD, OPTIONS             /admin/items/bulk-export/check_export_status
items/bulk-export.download                           GET, HEAD, OPTIONS             /admin/items/bulk-export/download
items/bulk-export.export_all                         OPTIONS, POST                  /admin/items/bulk-export/export_all
items/bulk-export.index                              GET, HEAD, OPTIONS             /admin/items/bulk-export/
items/bulk/delete.check                              GET, HEAD, OPTIONS             /admin/items/bulk/delete/check
items/bulk/delete.index                              GET, HEAD, OPTIONS, PUT        /admin/items/bulk/delete/
items/bulk/update.get_items_metadata                 GET, HEAD, OPTIONS             /admin/items/bulk/update/items_metadata
items/bulk/update.index                              GET, HEAD, OPTIONS             /admin/items/bulk/update/
items/custom_sort.index                              GET, HEAD, OPTIONS             /admin/items/custom_sort/
items/custom_sort.save_sort                          OPTIONS, POST                  /admin/items/custom_sort/save
items/import.check                                   OPTIONS, POST                  /admin/items/import/check
items/import.check_import_available                  GET, HEAD, OPTIONS             /admin/items/import/check_import_is_available
items/import.download_check                          OPTIONS, POST                  /admin/items/import/download_check
items/import.download_import                         OPTIONS, POST                  /admin/items/import/export_import
items/import.export_template                         OPTIONS, POST                  /admin/items/import/export_template
items/import.get_check_status                        OPTIONS, POST                  /admin/items/import/get_check_status
